fragmanetAndSide,fragment,fragmentTotal,fragmentVote,devideVoteByTotal,fragmentAndSideTotal,fragmentAndSideVote,devideSideVoteBySideTotal,fragmentAndSideTrendVote,devideSideTrendVoteBySideTotal,fragmentAndSideTrendVoteStrict,devideSideTrendVoteStrictBySideTotal,fragmentAndSideTrendVoteSync,devideSideTrendVoteSyncBySideTotal,firstFileName,firstCroppedWidth,firstOffsetX,firstOffsetY,firstHorizontalFlip,secondFileName,secondCroppedWidth,secondOffsetX,secondOffsetY,secondHorizontalFlip,fragmentAndSideTrend,fragmentAndSideCubes,fragmentAndSideDrawRect,fragmentAndSideMatchPoint,origCoordinates,class
P597Fg006_1_P597Fg036_1,P597Fg006_P597Fg036,80,60,0.75,50,40,0.8,40,0.8,2,0.04,3,0.06,P597Fg006,0,0,0,0,P597Fg036,0,0,0,0,"[[True, 0, 1], [True, 0, 1], [True, 0, 1], [True, 0, 0], [True, 0, 0], [True, 0, 0], [True, 0, 0], [True, 1, 1], [True, 1, 1], [True, 1, 1], [True, 1, 1], [True, 1, 1], [True, 1, 1], [True, 1, 1], [True, 1, 1], [True, 1, 1], [True, 1, 0], [True, 1, 0], [True, 1, 0], [True, 1, 0], [True, 1, 0], [True, 1, 0], [True, 2, 1], [True, 2, 1], [True, 2, 1], [True, 2, 1], [True, 2, 1], [True, 2, 0], [True, 2, 0], [True, 2, 0], [True, 2, 0], [True, 2, 0], [True, 3, 1], [True, 3, 1], [True, 3, 1], [True, 3, 1], [True, 3, 0], [True, 3, 0], [True, 3, 0], [True, 3, 0]]","[[572, 750, 233, 150], [572, 750, 233, 200], [572, 750, 233, 350], [572, 750, 233, 300], [572, 750, 233, 250], [572, 250, 233, 300], [572, 250, 233, 250], [572, 250, 233, 350], [572, 250, 233, 150], [572, 250, 233, 200], [572, 700, 233, 250], [572, 700, 233, 200], [572, 700, 233, 150], [572, 700, 233, 350], [572, 100, 233, 150], [572, 100, 233, 200], [572, 800, 233, 200], [572, 800, 233, 150], [572, 800, 233, 350], [572, 400, 233, 200], [572, 400, 233, 150], [572, 400, 233, 300], [572, 400, 233, 350], [572, 400, 233, 250], [572, 200, 233, 350], [572, 200, 233, 150], [572, 200, 233, 300], [572, 200, 233, 250], [572, 200, 233, 200], [572, 500, 233, 350], [572, 500, 233, 150], [572, 650, 233, 150], [572, 650, 233, 250], [572, 650, 233, 200], [572, 650, 233, 350], [572, 300, 233, 250], [572, 300, 233, 350], [572, 300, 233, 150], [572, 300, 233, 200], [572, 300, 233, 300]]","[[822, 525, 922, 675], [822, 475, 922, 625], [822, 325, 922, 475], [822, 375, 922, 525], [822, 425, 922, 575], [822, -125, 922, 25], [822, -75, 922, 75], [822, -175, 922, -25], [822, 25, 922, 175], [822, -25, 922, 125], [822, 375, 922, 525], [822, 425, 922, 575], [822, 475, 922, 625], [822, 275, 922, 425], [822, -125, 922, 25], [822, -175, 922, -25], [822, 525, 922, 675], [822, 575, 922, 725], [822, 375, 922, 525], [822, 125, 922, 275], [822, 175, 922, 325], [822, 25, 922, 175], [822, -25, 922, 125], [822, 75, 922, 225], [822, -225, 922, -75], [822, -25, 922, 125], [822, -175, 922, -25], [822, -125, 922, 25], [822, -75, 922, 75], [822, 75, 922, 225], [822, 275, 922, 425], [822, 425, 922, 575], [822, 325, 922, 475], [822, 375, 922, 525], [822, 225, 922, 375], [822, -25, 922, 125], [822, -125, 922, 25], [822, 75, 922, 225], [822, 25, 922, 175], [822, -75, 922, 75]]","[[872, 600], [872, 550], [872, 400], [872, 450], [872, 500], [872, -50], [872, 0], [872, -100], [872, 100], [872, 50], [872, 450], [872, 500], [872, 550], [872, 350], [872, -50], [872, -100], [872, 600], [872, 650], [872, 450], [872, 200], [872, 250], [872, 100], [872, 50], [872, 150], [872, -150], [872, 50], [872, -100], [872, -50], [872, 0], [872, 150], [872, 350], [872, 500], [872, 400], [872, 450], [872, 300], [872, 50], [872, -50], [872, 150], [872, 100], [872, 0]]",[],0
P597Fg006_0_P597Fg060_0,P597Fg006_P597Fg060,330,27,0.08181818181818182,33,1,0.030303030303030304,0,0.0,0,0.0,0,0.0,P597Fg006,0,0,0,0,P597Fg060,0,0,0,0,"[[True, 2, 1]]","[[50, 600, 50, 350]]","[[300, 175, 400, 325]]","[[350, 250]]",[],0
P597Fg006_1_P597Fg030_0,P597Fg006_P597Fg030,120,37,0.30833333333333335,40,27,0.675,27,0.675,1,0.025,0,0.0,P597Fg006,0,0,0,0,P597Fg030,0,0,0,0,"[[False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 1, 0], [False, 1, 0], [False, 1, 0], [False, 1, 0], [False, 1, 0], [False, 1, 0], [False, 1, 0], [False, 1, 0], [False, 1, 0], [False, 1, 0], [False, 1, 0], [False, 1, 0], [False, 2, 0], [False, 2, 0], [False, 2, 0], [False, 2, 0], [False, 2, 0], [False, 2, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0]]","[[572, 750, 50, 150], [572, 750, 50, 100], [572, 250, 50, 150], [572, 250, 50, 50], [572, 250, 50, 100], [572, 250, 50, 200], [572, 700, 50, 100], [572, 700, 50, 150], [572, 800, 50, 150], [572, 800, 50, 100], [572, 800, 50, 50], [572, 400, 50, 100], [572, 400, 50, 150], [572, 400, 50, 50], [572, 400, 50, 200], [572, 200, 50, 100], [572, 200, 50, 150], [572, 200, 50, 50], [572, 200, 50, 200], [572, 500, 50, 150], [572, 650, 50, 200], [572, 650, 50, 150], [572, 650, 50, 100], [572, 300, 50, 150], [572, 300, 50, 100], [572, 300, 50, 200], [572, 300, 50, 50]]","[[822, 525, 922, 675], [822, 575, 922, 725], [822, 25, 922, 175], [822, 125, 922, 275], [822, 75, 922, 225], [822, -25, 922, 125], [822, 525, 922, 675], [822, 475, 922, 625], [822, 575, 922, 725], [822, 625, 922, 775], [822, 675, 922, 825], [822, 225, 922, 375], [822, 175, 922, 325], [822, 275, 922, 425], [822, 125, 922, 275], [822, 25, 922, 175], [822, -25, 922, 125], [822, 75, 922, 225], [822, -75, 922, 75], [822, 275, 922, 425], [822, 375, 922, 525], [822, 425, 922, 575], [822, 475, 922, 625], [822, 75, 922, 225], [822, 125, 922, 275], [822, 25, 922, 175], [822, 175, 922, 325]]","[[872, 600], [872, 650], [872, 100], [872, 200], [872, 150], [872, 50], [872, 600], [872, 550], [872, 650], [872, 700], [872, 750], [872, 300], [872, 250], [872, 350], [872, 200], [872, 100], [872, 50], [872, 150], [872, 0], [872, 350], [872, 450], [872, 500], [872, 550], [872, 150], [872, 200], [872, 100], [872, 250]]",[],0
P597Fg006_1_P597Fg071_1,P597Fg006_P597Fg071,210,45,0.21428571428571427,60,13,0.21666666666666667,12,0.2,1,0.016666666666666666,0,0.0,P597Fg006,0,0,0,0,P597Fg071,0,0,0,0,"[[True, 0, 0], [True, 0, 0], [True, 1, 0], [True, 1, 0], [True, 1, 0], [True, 1, 0], [True, 1, 0], [True, 1, 0], [True, 1, 0], [True, 3, 0], [True, 3, 0], [True, 3, 0], [True, 3, 0]]","[[572, 750, 385, 150], [572, 750, 385, 50], [572, 250, 385, 150], [572, 250, 385, 50], [572, 800, 385, 50], [572, 800, 385, 150], [572, 400, 385, 150], [572, 400, 385, 50], [572, 200, 385, 150], [572, 200, 385, 50], [572, 300, 385, 100], [572, 300, 385, 50], [572, 300, 385, 150]]","[[822, 525, 922, 675], [822, 625, 922, 775], [822, 25, 922, 175], [822, 125, 922, 275], [822, 675, 922, 825], [822, 575, 922, 725], [822, 175, 922, 325], [822, 275, 922, 425], [822, -25, 922, 125], [822, 75, 922, 225], [822, 125, 922, 275], [822, 175, 922, 325], [822, 75, 922, 225]]","[[872, 600], [872, 700], [872, 100], [872, 200], [872, 750], [872, 650], [872, 250], [872, 350], [872, 50], [872, 150], [872, 200], [872, 250], [872, 150]]",[],0
P597Fg006_0_P598Fg023_0,P597Fg006_P598Fg023,63,2,0.031746031746031744,10,1,0.1,0,0.0,0,0.0,0,0.0,P597Fg006,0,0,0,0,P598Fg023,0,0,0,0,"[[True, 2, 0]]","[[50, 700, 50, 200]]","[[300, 425, 400, 575]]","[[350, 500]]",[],0
P597Fg006_0_P597Fg018_1,P597Fg006_P597Fg018,180,86,0.4777777777777778,40,14,0.35,14,0.35,1,0.025,0,0.0,P597Fg006,0,0,0,0,P597Fg018,0,0,0,0,"[[False, 1, 1], [False, 2, 0], [False, 2, 0], [False, 2, 0], [False, 2, 1], [False, 2, 1], [False, 2, 1], [False, 2, 1], [False, 2, 1], [False, 2, 1], [False, 2, 1], [False, 2, 1], [False, 2, 1], [False, 2, 1]]","[[50, 400, 568, 400], [50, 700, 568, 200], [50, 700, 568, 300], [50, 700, 568, 450], [50, 700, 568, 350], [50, 700, 568, 400], [50, 600, 568, 450], [50, 600, 568, 350], [50, 600, 568, 400], [50, 600, 568, 200], [50, 650, 568, 350], [50, 650, 568, 200], [50, 650, 568, 450], [50, 650, 568, 400]]","[[300, -75, 400, 75], [300, 425, 400, 575], [300, 325, 400, 475], [300, 175, 400, 325], [300, 275, 400, 425], [300, 225, 400, 375], [300, 75, 400, 225], [300, 175, 400, 325], [300, 125, 400, 275], [300, 325, 400, 475], [300, 225, 400, 375], [300, 375, 400, 525], [300, 125, 400, 275], [300, 175, 400, 325]]","[[350, 0], [350, 500], [350, 400], [350, 250], [350, 350], [350, 300], [350, 150], [350, 250], [350, 200], [350, 400], [350, 300], [350, 450], [350, 200], [350, 250]]",[],0
P597Fg006_1_P597Fg035_1,P597Fg006_P597Fg035,195,45,0.23076923076923078,130,36,0.27692307692307694,36,0.27692307692307694,2,0.015384615384615385,0,0.0,P597Fg006,0,0,0,0,P597Fg035,0,0,0,0,"[[True, 0, 2], [True, 0, 2], [True, 0, 1], [True, 0, 0], [True, 0, 0], [True, 0, 0], [True, 0, 0], [True, 1, 2], [True, 1, 2], [True, 1, 2], [True, 1, 2], [True, 1, 2], [True, 1, 1], [True, 1, 1], [True, 1, 1], [True, 1, 1], [True, 1, 1], [True, 1, 1], [True, 1, 1], [True, 1, 1], [True, 1, 0], [True, 1, 0], [True, 1, 0], [True, 1, 0], [True, 1, 0], [True, 1, 0], [True, 1, 0], [True, 1, 0], [True, 1, 0], [True, 2, 0], [True, 2, 0], [True, 2, 0], [True, 2, 0], [True, 3, 0], [True, 3, 0], [True, 3, 0]]","[[572, 750, 428, 50], [572, 250, 428, 100], [572, 250, 428, 200], [572, 250, 428, 300], [572, 250, 428, 500], [572, 250, 428, 50], [572, 250, 428, 450], [572, 700, 428, 50], [572, 100, 428, 50], [572, 800, 428, 50], [572, 800, 428, 100], [572, 400, 428, 450], [572, 400, 428, 500], [572, 400, 428, 50], [572, 400, 428, 300], [572, 400, 428, 100], [572, 400, 428, 350], [572, 200, 428, 500], [572, 200, 428, 550], [572, 200, 428, 100], [572, 200, 428, 0], [572, 200, 428, 50], [572, 200, 428, 300], [572, 500, 428, 50], [572, 650, 428, 100], [572, 650, 428, 50], [572, 300, 428, 100], [572, 300, 428, 400], [572, 300, 428, 0], [572, 300, 428, 600], [572, 300, 428, 550], [572, 300, 428, 150], [572, 300, 428, 500], [572, 300, 428, 450], [572, 300, 428, 50], [572, 300, 428, 300]]","[[822, 625, 922, 775], [822, 75, 922, 225], [822, -25, 922, 125], [822, -125, 922, 25], [822, -325, 922, -175], [822, 125, 922, 275], [822, -275, 922, -125], [822, 575, 922, 725], [822, -25, 922, 125], [822, 675, 922, 825], [822, 625, 922, 775], [822, -125, 922, 25], [822, -175, 922, -25], [822, 275, 922, 425], [822, 25, 922, 175], [822, 225, 922, 375], [822, -25, 922, 125], [822, -375, 922, -225], [822, -425, 922, -275], [822, 25, 922, 175], [822, 125, 922, 275], [822, 75, 922, 225], [822, -175, 922, -25], [822, 375, 922, 525], [822, 475, 922, 625], [822, 525, 922, 675], [822, 125, 922, 275], [822, -175, 922, -25], [822, 225, 922, 375], [822, -375, 922, -225], [822, -325, 922, -175], [822, 75, 922, 225], [822, -275, 922, -125], [822, -225, 922, -75], [822, 175, 922, 325], [822, -75, 922, 75]]","[[872, 700], [872, 150], [872, 50], [872, -50], [872, -250], [872, 200], [872, -200], [872, 650], [872, 50], [872, 750], [872, 700], [872, -50], [872, -100], [872, 350], [872, 100], [872, 300], [872, 50], [872, -300], [872, -350], [872, 100], [872, 200], [872, 150], [872, -100], [872, 450], [872, 550], [872, 600], [872, 200], [872, -100], [872, 300], [872, -300], [872, -250], [872, 150], [872, -200], [872, -150], [872, 250], [872, 0]]",[],0
P597Fg006_0_P598Fg031_1,P597Fg006_P598Fg031,150,7,0.04666666666666667,15,2,0.13333333333333333,1,0.06666666666666667,0,0.0,0,0.0,P597Fg006,0,0,0,0,P598Fg031,0,0,0,0,"[[False, 2, 0], [False, 2, 0]]","[[50, 700, 847, 100], [50, 600, 847, 100]]","[[300, 525, 400, 675], [300, 425, 400, 575]]","[[350, 600], [350, 500]]",[],0
P597Fg006_0_P597Fg026_0,P597Fg006_P597Fg026,240,24,0.1,32,6,0.1875,5,0.15625,1,0.03125,0,0.0,P597Fg006,0,0,0,0,P597Fg026,0,0,0,0,"[[True, 2, 1], [True, 2, 1], [True, 2, 0], [True, 2, 0], [True, 2, 0], [True, 2, 0]]","[[50, 700, 50, 350], [50, 700, 50, 200], [50, 600, 50, 100], [50, 600, 50, 200], [50, 600, 50, 350], [50, 650, 50, 200]]","[[300, 275, 400, 425], [300, 425, 400, 575], [300, 425, 400, 575], [300, 325, 400, 475], [300, 175, 400, 325], [300, 375, 400, 525]]","[[350, 350], [350, 500], [350, 500], [350, 400], [350, 250], [350, 450]]",[],0
P597Fg006_1_P597Fg064_0,P597Fg006_P597Fg064,225,133,0.5911111111111111,70,52,0.7428571428571429,52,0.7428571428571429,1,0.014285714285714285,0,0.0,P597Fg006,0,0,0,0,P597Fg064,0,0,0,0,"[[False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 1], [False, 0, 1], [False, 0, 1], [False, 0, 1], [False, 0, 1], [False, 1, 0], [False, 1, 0], [False, 1, 0], [False, 1, 0], [False, 1, 0], [False, 1, 0], [False, 1, 0], [False, 1, 0], [False, 1, 0], [False, 1, 0], [False, 1, 0], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 2, 0], [False, 2, 0], [False, 2, 0], [False, 2, 0], [False, 2, 1], [False, 2, 1], [False, 2, 1], [False, 2, 1], [False, 2, 1], [False, 2, 1], [False, 2, 1], [False, 2, 1], [False, 2, 1], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 1], [False, 3, 1], [False, 3, 1], [False, 3, 1], [False, 3, 1], [False, 3, 1]]","[[572, 750, 50, 300], [572, 750, 50, 50], [572, 750, 50, 200], [572, 750, 50, 250], [572, 750, 50, 350], [572, 250, 50, 300], [572, 250, 50, 100], [572, 250, 50, 350], [572, 250, 50, 250], [572, 250, 50, 200], [572, 250, 50, 50], [572, 700, 50, 300], [572, 700, 50, 250], [572, 700, 50, 50], [572, 700, 50, 350], [572, 100, 50, 350], [572, 100, 50, 50], [572, 100, 50, 300], [572, 800, 50, 200], [572, 800, 50, 300], [572, 800, 50, 250], [572, 800, 50, 50], [572, 800, 50, 350], [572, 400, 50, 200], [572, 400, 50, 350], [572, 400, 50, 250], [572, 400, 50, 100], [572, 400, 50, 150], [572, 400, 50, 300], [572, 400, 50, 50], [572, 200, 50, 200], [572, 200, 50, 350], [572, 200, 50, 50], [572, 200, 50, 250], [572, 200, 50, 300], [572, 200, 50, 100], [572, 500, 50, 350], [572, 500, 50, 250], [572, 500, 50, 300], [572, 500, 50, 200], [572, 650, 50, 300], [572, 650, 50, 350], [572, 650, 50, 250], [572, 650, 50, 50], [572, 650, 50, 200], [572, 300, 50, 250], [572, 300, 50, 350], [572, 300, 50, 150], [572, 300, 50, 100], [572, 300, 50, 200], [572, 300, 50, 300], [572, 300, 50, 50]]","[[822, 375, 922, 525], [822, 625, 922, 775], [822, 475, 922, 625], [822, 425, 922, 575], [822, 325, 922, 475], [822, -125, 922, 25], [822, 75, 922, 225], [822, -175, 922, -25], [822, -75, 922, 75], [822, -25, 922, 125], [822, 125, 922, 275], [822, 325, 922, 475], [822, 375, 922, 525], [822, 575, 922, 725], [822, 275, 922, 425], [822, -325, 922, -175], [822, -25, 922, 125], [822, -275, 922, -125], [822, 525, 922, 675], [822, 425, 922, 575], [822, 475, 922, 625], [822, 675, 922, 825], [822, 375, 922, 525], [822, 125, 922, 275], [822, -25, 922, 125], [822, 75, 922, 225], [822, 225, 922, 375], [822, 175, 922, 325], [822, 25, 922, 175], [822, 275, 922, 425], [822, -75, 922, 75], [822, -225, 922, -75], [822, 75, 922, 225], [822, -125, 922, 25], [822, -175, 922, -25], [822, 25, 922, 175], [822, 75, 922, 225], [822, 175, 922, 325], [822, 125, 922, 275], [822, 225, 922, 375], [822, 275, 922, 425], [822, 225, 922, 375], [822, 325, 922, 475], [822, 525, 922, 675], [822, 375, 922, 525], [822, -25, 922, 125], [822, -125, 922, 25], [822, 75, 922, 225], [822, 125, 922, 275], [822, 25, 922, 175], [822, -75, 922, 75], [822, 175, 922, 325]]","[[872, 450], [872, 700], [872, 550], [872, 500], [872, 400], [872, -50], [872, 150], [872, -100], [872, 0], [872, 50], [872, 200], [872, 400], [872, 450], [872, 650], [872, 350], [872, -250], [872, 50], [872, -200], [872, 600], [872, 500], [872, 550], [872, 750], [872, 450], [872, 200], [872, 50], [872, 150], [872, 300], [872, 250], [872, 100], [872, 350], [872, 0], [872, -150], [872, 150], [872, -50], [872, -100], [872, 100], [872, 150], [872, 250], [872, 200], [872, 300], [872, 350], [872, 300], [872, 400], [872, 600], [872, 450], [872, 50], [872, -50], [872, 150], [872, 200], [872, 100], [872, 0], [872, 250]]",[],0
P597Fg006_1_P597Fg031_1,P597Fg006_P597Fg031,30,1,0.03333333333333333,20,1,0.05,1,0.05,0,0.0,0,0.0,P597Fg006,0,0,0,0,P597Fg031,0,0,0,0,"[[True, 1, 0]]","[[572, 300, 1020, 0]]","[[822, 225, 922, 375]]","[[872, 300]]",[],0
P597Fg006_0_P597Fg050_1,P597Fg006_P597Fg050,60,18,0.3,8,3,0.375,2,0.25,0,0.0,0,0.0,P597Fg006,0,0,0,0,P597Fg050,0,0,0,0,"[[False, 2, 0], [False, 2, 0], [False, 2, 0]]","[[50, 700, 1005, 150], [50, 700, 1005, 0], [50, 700, 1005, 50]]","[[300, 475, 400, 625], [300, 625, 400, 775], [300, 575, 400, 725]]","[[350, 550], [350, 700], [350, 650]]",[],0
P597Fg006_1_P597Fg056_1,P597Fg006_P597Fg056,60,7,0.11666666666666667,20,1,0.05,1,0.05,0,0.0,0,0.0,P597Fg006,0,0,0,0,P597Fg056,0,0,0,0,"[[True, 1, 0]]","[[572, 300, 213, 50]]","[[822, 175, 922, 325]]","[[872, 250]]",[],0
