fragmanetAndSide,fragment,fragmentTotal,fragmentVote,devideVoteByTotal,fragmentAndSideTotal,fragmentAndSideVote,devideSideVoteBySideTotal,fragmentAndSideTrendVote,devideSideTrendVoteBySideTotal,fragmentAndSideTrendVoteStrict,devideSideTrendVoteStrictBySideTotal,fragmentAndSideTrendVoteSync,devideSideTrendVoteSyncBySideTotal,firstFileName,firstCroppedWidth,firstOffsetX,firstOffsetY,firstHorizontalFlip,secondFileName,secondCroppedWidth,secondOffsetX,secondOffsetY,secondHorizontalFlip,fragmentAndSideTrend,fragmentAndSideCubes,fragmentAndSideDrawRect,fragmentAndSideMatchPoint,origCoordinates,class
PX303Fg006_3X3_1X1_0_PX303Fg006_3X3_2X0_1,PX303Fg006_3X3_1X1_PX303Fg006_3X3_2X0,124,45,0.3629032258064516,28,0,0.0,0,0.0,0,0.0,0,0.0,PX303Fg006_3X3_1X1,0,0,0,0,PX303Fg006_3X3_2X0,0,0,0,0,[],[],[],[],[],0
PX303Fg006_7X2_5X0_0_PX303Fg006_7X2_6X1_1,PX303Fg006_7X2_5X0_PX303Fg006_7X2_6X1,284,104,0.36619718309859156,72,0,0.0,0,0.0,0,0.0,0,0.0,PX303Fg006_7X2_5X0,0,0,0,0,PX303Fg006_7X2_6X1,0,0,0,0,[],[],[],[],[],0
PX303Fg006_6X3_1X0_1_PX303Fg006_6X3_2X2_1,PX303Fg006_6X3_1X0_PX303Fg006_6X3_2X2,156,40,0.2564102564102564,52,0,0.0,0,0.0,0,0.0,0,0.0,PX303Fg006_6X3_1X0,0,0,0,0,PX303Fg006_6X3_2X2,0,0,0,0,[],[],[],[],[],0
PX303Fg006_7X3_3X0_1_PX303Fg006_7X3_5X2_1,PX303Fg006_7X3_3X0_PX303Fg006_7X3_5X2,200,15,0.075,50,0,0.0,0,0.0,0,0.0,0,0.0,PX303Fg006_7X3_3X0,0,0,0,0,PX303Fg006_7X3_5X2,0,0,0,0,[],[],[],[],[],0
PX303Fg006_5X3_0X0_1_PX303Fg006_5X3_1X2_1,PX303Fg006_5X3_0X0_PX303Fg006_5X3_1X2,126,68,0.5396825396825397,18,0,0.0,0,0.0,0,0.0,0,0.0,PX303Fg006_5X3_0X0,0,0,0,0,PX303Fg006_5X3_1X2,0,0,0,0,[],[],[],[],[],0
PX303Fg006_7X3_1X2_1_PX303Fg006_7X3_6X2_0,PX303Fg006_7X3_1X2_PX303Fg006_7X3_6X2,192,63,0.328125,48,30,0.625,30,0.625,36,0.75,18,0.375,PX303Fg006_7X3_1X2,0,0,0,0,PX303Fg006_7X3_6X2,0,0,0,0,"[[False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 1], [False, 0, 1], [False, 0, 1], [False, 0, 1], [False, 0, 1], [False, 1, 0], [False, 1, 0], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 2, 1], [False, 2, 1], [False, 2, 1], [False, 2, 1], [False, 2, 1], [False, 3, 1], [False, 3, 1], [False, 3, 1], [False, 3, 1], [False, 3, 1], [False, 4, 1], [False, 4, 1], [False, 4, 1], [False, 4, 1]]","[[541, 1150, 50, 250], [541, 200, 50, 250], [541, 1050, 50, 250], [541, 550, 50, 250], [541, 50, 50, 250], [541, 0, 50, 0], [541, 450, 50, 250], [541, 1000, 50, 250], [541, 300, 50, 0], [541, 250, 50, 250], [541, 100, 50, 250], [541, 650, 50, 250], [541, 200, 50, 0], [541, 150, 50, 250], [541, 250, 50, 0], [541, 800, 50, 250], [541, 700, 50, 250], [541, 900, 50, 250], [541, 950, 50, 250], [541, 850, 50, 250], [541, 1100, 50, 250], [541, 150, 50, 0], [541, 350, 50, 250], [541, 300, 50, 250], [541, 400, 50, 250], [541, 0, 50, 250], [541, 100, 50, 0], [541, 500, 50, 250], [541, 750, 50, 250], [541, 600, 50, 250]]","[[791, 825, 891, 975], [791, -125, 891, 25], [791, 725, 891, 875], [791, 225, 891, 375], [791, -275, 891, -125], [791, -75, 891, 75], [791, 125, 891, 275], [791, 675, 891, 825], [791, 225, 891, 375], [791, -75, 891, 75], [791, -225, 891, -75], [791, 325, 891, 475], [791, 125, 891, 275], [791, -175, 891, -25], [791, 175, 891, 325], [791, 475, 891, 625], [791, 375, 891, 525], [791, 575, 891, 725], [791, 625, 891, 775], [791, 525, 891, 675], [791, 775, 891, 925], [791, 75, 891, 225], [791, 25, 891, 175], [791, -25, 891, 125], [791, 75, 891, 225], [791, -325, 891, -175], [791, 25, 891, 175], [791, 175, 891, 325], [791, 425, 891, 575], [791, 275, 891, 425]]","[[841, 900], [841, -50], [841, 800], [841, 300], [841, -200], [841, 0], [841, 200], [841, 750], [841, 300], [841, 0], [841, -150], [841, 400], [841, 200], [841, -100], [841, 250], [841, 550], [841, 450], [841, 650], [841, 700], [841, 600], [841, 850], [841, 150], [841, 100], [841, 50], [841, 150], [841, -250], [841, 100], [841, 250], [841, 500], [841, 350]]",[],0
PX303Fg006_3X3_0X1_1_PX303Fg006_3X3_2X2_1,PX303Fg006_3X3_0X1_PX303Fg006_3X3_2X2,136,13,0.09558823529411764,42,5,0.11904761904761904,5,0.11904761904761904,0,0.0,0,0.0,PX303Fg006_3X3_0X1,0,0,0,0,PX303Fg006_3X3_2X2,0,0,0,0,"[[False, 0, 1], [False, 0, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1]]","[[1655, 300, 1392, 250], [1655, 150, 1392, 250], [1655, 200, 1392, 250], [1655, 250, 1392, 250], [1655, 350, 1392, 250]]","[[1905, -25, 2005, 125], [1905, -175, 2005, -25], [1905, -125, 2005, 25], [1905, -75, 2005, 75], [1905, 25, 2005, 175]]","[[1955, 50], [1955, -100], [1955, -50], [1955, 0], [1955, 100]]",[],0
PX303Fg006_6X3_1X1_0_PX303Fg006_6X3_5X2_0,PX303Fg006_6X3_1X1_PX303Fg006_6X3_5X2,156,13,0.08333333333333333,36,0,0.0,0,0.0,0,0.0,0,0.0,PX303Fg006_6X3_1X1,0,0,0,0,PX303Fg006_6X3_5X2,0,0,0,0,[],[],[],[],[],0
PX303Fg006_7X2_2X1_0_PX303Fg006_7X2_5X1_0,PX303Fg006_7X2_2X1_PX303Fg006_7X2_5X1,207,64,0.30917874396135264,36,27,0.75,27,0.75,52,1.4444444444444444,26,0.7222222222222222,PX303Fg006_7X2_2X1,0,0,0,0,PX303Fg006_7X2_5X1,0,0,0,0,"[[True, 1, 1], [True, 1, 1], [True, 1, 1], [True, 2, 1], [True, 2, 1], [True, 2, 1], [True, 2, 1], [True, 2, 1], [True, 3, 1], [True, 3, 1], [True, 3, 1], [True, 3, 1], [True, 3, 1], [True, 4, 1], [True, 4, 1], [True, 4, 1], [True, 4, 1], [True, 4, 1], [True, 5, 1], [True, 5, 1], [True, 6, 1], [True, 6, 1], [True, 7, 1], [True, 7, 1], [True, 7, 1], [True, 7, 1], [True, 7, 1]]","[[50, 550, 50, 250], [50, 900, 50, 250], [50, 650, 50, 250], [50, 1850, 50, 250], [50, 1200, 50, 250], [50, 450, 50, 250], [50, 500, 50, 250], [50, 700, 50, 250], [50, 1700, 50, 250], [50, 750, 50, 250], [50, 1050, 50, 250], [50, 1100, 50, 250], [50, 950, 50, 250], [50, 1950, 50, 250], [50, 1350, 50, 250], [50, 1000, 50, 250], [50, 1650, 50, 250], [50, 400, 50, 250], [50, 350, 50, 250], [50, 600, 50, 250], [50, 850, 50, 250], [50, 1250, 50, 250], [50, 1150, 50, 250], [50, 1900, 50, 250], [50, 1800, 50, 250], [50, 800, 50, 250], [50, 1750, 50, 250]]","[[300, 225, 400, 375], [300, 575, 400, 725], [300, 325, 400, 475], [300, 1525, 400, 1675], [300, 875, 400, 1025], [300, 125, 400, 275], [300, 175, 400, 325], [300, 375, 400, 525], [300, 1375, 400, 1525], [300, 425, 400, 575], [300, 725, 400, 875], [300, 775, 400, 925], [300, 625, 400, 775], [300, 1625, 400, 1775], [300, 1025, 400, 1175], [300, 675, 400, 825], [300, 1325, 400, 1475], [300, 75, 400, 225], [300, 25, 400, 175], [300, 275, 400, 425], [300, 525, 400, 675], [300, 925, 400, 1075], [300, 825, 400, 975], [300, 1575, 400, 1725], [300, 1475, 400, 1625], [300, 475, 400, 625], [300, 1425, 400, 1575]]","[[350, 300], [350, 650], [350, 400], [350, 1600], [350, 950], [350, 200], [350, 250], [350, 450], [350, 1450], [350, 500], [350, 800], [350, 850], [350, 700], [350, 1700], [350, 1100], [350, 750], [350, 1400], [350, 150], [350, 100], [350, 350], [350, 600], [350, 1000], [350, 900], [350, 1650], [350, 1550], [350, 550], [350, 1500]]",[],0
PX303Fg006_5X3_3X1_0_PX303Fg006_5X3_4X2_1,PX303Fg006_5X3_3X1_PX303Fg006_5X3_4X2,92,36,0.391304347826087,42,8,0.19047619047619047,8,0.19047619047619047,13,0.30952380952380953,6,0.14285714285714285,PX303Fg006_5X3_3X1,0,0,0,0,PX303Fg006_5X3_4X2,0,0,0,0,"[[False, 0, 1], [False, 0, 1], [False, 0, 1], [False, 0, 1], [False, 0, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1]]","[[50, 150, 1068, 250], [50, 100, 1068, 250], [50, 250, 1068, 250], [50, 50, 1068, 250], [50, 0, 1068, 250], [50, 200, 1068, 250], [50, 300, 1068, 250], [50, 350, 1068, 250]]","[[300, -175, 400, -25], [300, -225, 400, -75], [300, -75, 400, 75], [300, -275, 400, -125], [300, -325, 400, -175], [300, -125, 400, 25], [300, -25, 400, 125], [300, 25, 400, 175]]","[[350, -100], [350, -150], [350, 0], [350, -200], [350, -250], [350, -50], [350, 50], [350, 100]]",[],0
