fragmentAndSide,fragment,fragmentTotal,fragmentVote,devideVoteByTotal,fragmentAndSideTotal,fragmentAndSideVote,devideSideVoteBySideTotal,fragmentAndSideTrendVote,devideSideTrendVoteBySideTotal,fragmentAndSideTrendVoteStrict,devideSideTrendVoteStrictBySideTotal,fragmentAndSideTrendVoteSync,devideSideTrendVoteSyncBySideTotal,firstFileName,firstCroppedWidth,firstOffsetX,firstOffsetY,firstHorizontalFlip,secondFileName,secondCroppedWidth,secondOffsetX,secondOffsetY,secondHorizontalFlip,origCoordinates,class,votesOverlapMax,divideOverlapMaxBySideTotal,votesOverlapHeight,votesSupportOverlapRect,divideSupportOverlapBySideTotal,divideSupportOverlapBySideVote,prediction,frontImageCombined,backImageCombined
P593Fg001_0_P593Fg002_0,P593Fg001_P593Fg002,3920,1604,0.409183673,1100,606,0.550909091,606,0.550909091,1,0.000909091,0,0,P593Fg001,2185,2136,1021,1,P593Fg002,1264,2550,1609,1,[],0,44,0.04,50,44,0.04,0.072607261,1,ux593_20190105/R=P593Fg001_0_P593Fg002_0.jpg,ux593_20190105/V=P593Fg001_0_P593Fg002_0.jpg
P593Fg002_1_P593Fg003_0,P593Fg002_P593Fg003,1840,759,0.4125,460,204,0.443478261,203,0.441304348,1,0.002173913,0,0,P593Fg002,1264,2550,1609,1,P593Fg003,1542,2531,1629,1,[],0,41,0.089130435,50,41,0.089130435,0.200980392,1,ux593_20190105/R=P593Fg002_1_P593Fg003_0.jpg,ux593_20190105/V=P593Fg002_1_P593Fg003_0.jpg
P593Fg001_0_P593Fg003_0,P593Fg001_P593Fg003,4508,1866,0.41393079,1265,576,0.455335968,576,0.455335968,2,0.001581028,0,0,P593Fg001,2185,2136,1021,1,P593Fg003,1542,2531,1629,1,[],0,39,0.03083004,150,39,0.03083004,0.067708333,1,ux593_20190105/R=P593Fg001_0_P593Fg003_0.jpg,ux593_20190105/V=P593Fg001_0_P593Fg003_0.jpg
P593Fg001_0_P593Fg016_0,P593Fg001_P593Fg016,3136,1163,0.370854592,880,501,0.569318182,501,0.569318182,1,0.001136364,0,0,P593Fg001,2185,2136,1021,1,P593Fg016,1044,2842,1766,1,[],0,37,0.042045455,100,49,0.055681818,0.097804391,1,ux593_20190105/R=P593Fg001_0_P593Fg016_0.jpg,ux593_20190105/V=P593Fg001_0_P593Fg016_0.jpg
P593Fg001_0_P593Fg015_0,P593Fg001_P593Fg015,3724,1096,0.294307197,1045,480,0.459330144,480,0.459330144,1,0.000956938,0,0,P593Fg001,2185,2136,1021,1,P593Fg015,1184,2802,1572,1,[],0,37,0.035406699,50,37,0.035406699,0.077083333,1,ux593_20190105/R=P593Fg001_0_P593Fg015_0.jpg,ux593_20190105/V=P593Fg001_0_P593Fg015_0.jpg
P593Fg001_1_P593Fg003_0,P593Fg001_P593Fg003,4508,1866,0.41393079,989,415,0.419615774,412,0.416582406,2,0.002022245,0,0,P593Fg001,2185,2136,1021,1,P593Fg003,1542,2531,1629,1,[],0,36,0.036400404,100,47,0.04752275,0.113253012,1,ux593_20190105/R=P593Fg001_1_P593Fg003_0.jpg,ux593_20190105/V=P593Fg001_1_P593Fg003_0.jpg
P593Fg002_1_P593Fg004_0,P593Fg002_P593Fg004,1040,589,0.566346154,260,160,0.615384615,160,0.615384615,1,0.003846154,0,0,P593Fg002,1264,2550,1609,1,P593Fg004,1399,2862,1709,1,[],0,36,0.138461538,150,36,0.138461538,0.225,1,ux593_20190105/R=P593Fg002_1_P593Fg004_0.jpg,ux593_20190105/V=P593Fg002_1_P593Fg004_0.jpg
P593Fg015_1_P593Fg016_0,P593Fg015_P593Fg016,1216,545,0.448190789,304,148,0.486842105,148,0.486842105,2,0.006578947,0,0,P593Fg015,1184,2802,1572,1,P593Fg016,1044,2842,1766,1,[],0,34,0.111842105,100,45,0.148026316,0.304054054,1,ux593_20190105/R=P593Fg015_1_P593Fg016_0.jpg,ux593_20190105/V=P593Fg015_1_P593Fg016_0.jpg
P593Fg015_0_P593Fg016_0,P593Fg015_P593Fg016,1216,545,0.448190789,304,195,0.641447368,195,0.641447368,1,0.003289474,0,0,P593Fg015,1184,2802,1572,1,P593Fg016,1044,2842,1766,1,[],0,34,0.111842105,150,34,0.111842105,0.174358974,1,ux593_20190105/R=P593Fg015_0_P593Fg016_0.jpg,ux593_20190105/V=P593Fg015_0_P593Fg016_0.jpg
P593Fg001_0_P593Fg002_1,P593Fg001_P593Fg002,3920,1604,0.409183673,1100,371,0.337272727,371,0.337272727,1,0.000909091,0,0,P593Fg001,2185,2136,1021,1,P593Fg002,1264,2550,1609,1,[],0,34,0.030909091,50,34,0.030909091,0.091644205,1,ux593_20190105/R=P593Fg001_0_P593Fg002_1.jpg,ux593_20190105/V=P593Fg001_0_P593Fg002_1.jpg
