fragmanetAndSide,fragment,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fitstFileName,firstCroppedWidth,firstOffsetX,firstOffsetY,secondFileName,secondCroppedWidth,secondOffsetX,secondOffsetY,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates
P589Fg007_1_P598Fg035_1,P589Fg007_P598Fg035,4,4,4,4,1,P589-Fg007-V-C01-R01-D12022013-T122152-ML638,1108,3257,1630,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1]]","[[1000, 0, 1250, 250], [1000, 0, 1250, 500], [1000, 250, 1250, 250], [1000, 250, 1250, 500]]","[[4066, 3031, 3752, 2917], [4066, 3031, 3502, 2917], [3816, 3031, 3752, 2917], [3816, 3031, 3502, 2917]]"
P589Fg012_1_P590Fg032_1,P589Fg012_P590Fg032,20,10,10,13,4,P589-Fg012-V-C01-R01-D12022013-T130509-ML638,1776,2871,1523,P590-Fg032-V-C01-R01-D14022013-T151728-ML638,2284,2640,1143,"[[True, 0, 5], [True, 0, 4], [True, 1, 5], [True, 1, 4], [True, 2, 5], [True, 2, 4], [True, 3, 5], [True, 3, 4], [True, 4, 5], [True, 4, 4]]","[[1250, 0, 1750, 1000], [1250, 0, 1750, 1250], [1250, 250, 1750, 1000], [1250, 250, 1750, 1250], [1250, 500, 1750, 1000], [1250, 500, 1750, 1250], [1250, 750, 1750, 1000], [1250, 750, 1750, 1250], [1250, 1000, 1750, 1000], [1250, 1000, 1750, 1250]]","[[4150, 3044, 3242, 3048], [4150, 3044, 2992, 3048], [3900, 3044, 3242, 3048], [3900, 3044, 2992, 3048], [3650, 3044, 3242, 3048], [3650, 3044, 2992, 3048], [3400, 3044, 3242, 3048], [3400, 3044, 2992, 3048], [3150, 3044, 3242, 3048], [3150, 3044, 2992, 3048]]"
P596Fg055_1_P597Fg046_1,P596Fg055_P597Fg046,3,3,3,3,1,P596-Fg055-V-C01-R01-D22012014-T100617-ML638,1266,3306,2246,P597-Fg046-V-C01-R01-D01122014-T113002-ML638,1038,3247,1879,"[[True, 1, 1], [True, 1, 0], [True, 2, 1]]","[[250, 250, 500, 0], [250, 250, 500, 250], [250, 500, 500, 250]]","[[3901, 2667, 3710, 2481], [3901, 2667, 3460, 2481], [3651, 2667, 3460, 2481]]"
P589Fg001_1_P590Fg032_1,P589Fg001_P590Fg032,27,14,14,2,1,P589-Fg001-V-C01-R01-D12022013-T111114-ML638,1585,2956,1873,P590-Fg032-V-C01-R01-D14022013-T151728-ML638,2284,2640,1143,"[[True, 1, 5], [True, 1, 5], [True, 1, 4], [True, 1, 4], [True, 2, 5], [True, 2, 5], [True, 2, 4], [True, 2, 4], [True, 2, 3], [True, 2, 1], [True, 3, 5], [True, 3, 5], [True, 3, 4], [True, 3, 4]]","[[1000, 250, 1750, 1000], [1000, 250, 1750, 1250], [1000, 500, 1750, 250], [1000, 500, 1750, 750], [1000, 500, 1750, 1000], [1000, 500, 1750, 1250], [1000, 750, 1750, 1000], [1000, 750, 1750, 1250], [1000, 250, 1750, 1000], [1000, 250, 1750, 1250], [1000, 500, 1750, 1000], [1000, 500, 1750, 1250], [1000, 750, 1750, 1000], [1000, 750, 1750, 1250]]","[[3815, 2952, 3242, 3048], [3815, 2952, 2992, 3048], [3565, 2952, 3992, 3048], [3565, 2952, 3492, 3048], [3565, 2952, 3242, 3048], [3565, 2952, 2992, 3048], [3315, 2952, 3242, 3048], [3315, 2952, 2992, 3048], [3815, 2952, 3242, 3048], [3815, 2952, 2992, 3048], [3565, 2952, 3242, 3048], [3565, 2952, 2992, 3048], [3315, 2952, 3242, 3048], [3315, 2952, 2992, 3048]]"
P589Fg010_1_P590Fg032_1,P589Fg010_P590Fg032,12,6,6,7,2,P589-Fg010-V-C01-R01-D12022013-T124806-ML638,1609,2959,1715,P590-Fg032-V-C01-R01-D14022013-T151728-ML638,2284,2640,1143,"[[True, 1, 5], [True, 1, 4], [True, 2, 5], [True, 2, 4], [True, 3, 5], [True, 3, 4]]","[[750, 250, 1750, 1000], [750, 250, 1750, 1250], [750, 500, 1750, 1000], [750, 500, 1750, 1250], [750, 750, 1750, 1000], [750, 750, 1750, 1250]]","[[3974, 2859, 3242, 3048], [3974, 2859, 2992, 3048], [3724, 2859, 3242, 3048], [3724, 2859, 2992, 3048], [3474, 2859, 3242, 3048], [3474, 2859, 2992, 3048]]"
P589Fg001_1_P597Fg060_1,P589Fg001_P597Fg060,21,7,7,3,1,P589-Fg001-V-C01-R01-D12022013-T111114-ML638,1585,2956,1873,P597-Fg060-V-C01-R01-D01122014-T141941-ML638,1251,3052,2005,"[[True, 1, 0], [True, 1, 0], [True, 2, 1], [True, 2, 0], [True, 2, 0], [True, 3, 0], [True, 3, 0]]","[[1000, 250, 250, 0], [1000, 500, 250, 0], [1000, 500, 250, 250], [1000, 750, 250, 0], [1000, 250, 250, 0], [1000, 500, 250, 0], [1000, 750, 250, 0]]","[[3815, 2952, 3770, 2623], [3565, 2952, 3770, 2623], [3565, 2952, 3520, 2623], [3315, 2952, 3770, 2623], [3815, 2952, 3770, 2623], [3565, 2952, 3770, 2623], [3315, 2952, 3770, 2623]]"
P596Fg001_1_P598Fg035_1,P596Fg001_P598Fg035,7,7,7,8,2,P596-Fg001-V-C01-R01-D19012014-T115843-ML638,1451,3258,1600,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1], [True, 2, 2], [True, 2, 1], [True, 3, 1]]","[[500, 0, 1250, 250], [500, 0, 1250, 500], [500, 250, 1250, 250], [500, 250, 1250, 500], [500, 500, 1250, 250], [500, 500, 1250, 500], [500, 750, 1250, 250]]","[[3955, 1878, 3752, 2917], [3955, 1878, 3502, 2917], [3955, 2128, 3752, 2917], [3955, 2128, 3502, 2917], [3955, 2378, 3752, 2917], [3955, 2378, 3502, 2917], [3955, 2628, 3752, 2917]]"
P589Fg002_1_P596Fg001_1,P589Fg002_P596Fg001,9,9,8,3,1,P589-Fg002-V-C01-R01-D12022013-T112400-ML638,2252,2731,934,P596-Fg001-V-C01-R01-D19012014-T115843-ML638,1451,3258,1600,"[[True, 0, 1], [True, 0, 1], [True, 0, 0], [True, 0, 0], [True, 1, 1], [True, 1, 0], [True, 1, 0], [True, 3, 1], [True, 3, 0]]","[[2500, 0, 500, 0], [2500, 0, 500, 250], [2500, 250, 500, 0], [2500, 250, 500, 250], [2500, 0, 500, 0], [2500, 0, 500, 250], [2500, 250, 500, 0], [2500, 750, 500, 0], [2500, 750, 500, 250]]","[[4227, 3838, 3955, 1878], [4227, 3838, 3955, 2128], [3977, 3838, 3955, 1878], [3977, 3838, 3955, 2128], [4227, 3838, 3955, 1878], [4227, 3838, 3955, 2128], [3977, 3838, 3955, 1878], [3477, 3838, 3955, 1878], [3477, 3838, 3955, 2128]]"
P589Fg011_1_P597Fg060_1,P589Fg011_P597Fg060,17,7,7,8,2,P589-Fg011-V-C01-R01-D12022013-T125637-ML638,1795,2809,2009,P597-Fg060-V-C01-R01-D01122014-T141941-ML638,1251,3052,2005,"[[True, 0, 1], [True, 0, 0], [True, 1, 1], [True, 1, 0], [True, 2, 1], [True, 2, 0], [True, 3, 0]]","[[750, 0, 250, 0], [750, 0, 250, 250], [750, 250, 250, 0], [750, 250, 250, 250], [750, 500, 250, 0], [750, 500, 250, 250], [750, 750, 250, 0]]","[[4250, 2932, 3770, 2623], [4250, 2932, 3520, 2623], [4000, 2932, 3770, 2623], [4000, 2932, 3520, 2623], [3750, 2932, 3770, 2623], [3750, 2932, 3520, 2623], [3500, 2932, 3770, 2623]]"
P589Fg005_1_P598Fg035_1,P589Fg005_P598Fg035,5,5,5,5,1,P589-Fg005-V-C01-R01-D12022013-T115957-ML638,1377,3104,1706,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1], [True, 2, 1]]","[[750, 0, 1250, 250], [750, 0, 1250, 500], [750, 250, 1250, 250], [750, 250, 1250, 500], [750, 500, 1250, 250]]","[[3934, 2857, 3752, 2917], [3934, 2857, 3502, 2917], [3684, 2857, 3752, 2917], [3684, 2857, 3502, 2917], [3434, 2857, 3752, 2917]]"
