File,Model,Gap,Slice_size,Count,Precision,Recall,F-score,True Count,Error Rate,
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_250px_model400x50.ckpt,0,250,7000,0.453547469,0.989686148,0.622033249,2352,0.384142857,445
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_250px_model400x50.ckpt,5,250,5000,0.535226817,0.944395254,0.68323618,1940,0.349,445
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_250px_model400x50.ckpt,10,250,5000,0.533674963,0.903665663,0.671050036,1940,0.3494,445
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_250px_model400x50.ckpt,20,250,5000,0.541176471,0.847175491,0.6604542,1940,0.3596,445
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_250px_model400x50.ckpt,40,250,5000,0.480848013,0.831414911,0.609305042,1940,0.4186,445
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_250px_model400x50.ckpt,80,250,5000,0.41648299,0.769612183,0.54048004,1940,0.4876,445
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120502-ML445__001.jpg,/Users/il239838/Development/models/ML445__001_250px_model400x50.ckpt,120,250,5000,0.432442971,0.785549849,0.557812009,1940,0.4784,445
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_250px_model400x50.ckpt,0,250,7000,0.447320709,0.98502828,0.615246078,2352,0.396,475
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_250px_model400x50.ckpt,5,250,5000,0.49938789,0.939082699,0.652034919,1940,0.3958,475
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120506-ML475__002.jpg,/Users/il239838/Development/models/ML475__002_250px_model400x50.ckpt,10,250,5000,0.505978477,0.899238534,0.647580182,1940,0.3948,475
