fragmanetAndSide,fragment,class,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates
PX303Fg006_6X4_0X2_2_PX303Fg006_6X4_3X0_2,PX303Fg006_6X4_0X2_PX303Fg006_6X4_3X0,0,17,2,1,2,1,"[[False, 0, 0], [False, 2, 0]]","[[500, 543, 500, 50], [500, 50, 500, 50]]",[]
PX303Fg006_5X3_0X1_0_PX303Fg006_5X3_4X1_4,PX303Fg006_5X3_0X1_PX303Fg006_5X3_4X1,0,49,2,1,2,1,"[[False, 0, 0], [False, 3, 0]]","[[0, 50, 1000, 50], [0, 864, 1000, 50]]",[]
PX303Fg006_5X3_1X1_2_PX303Fg006_5X3_3X1_4,PX303Fg006_5X3_1X1_PX303Fg006_5X3_3X1,0,8,1,1,0,0,"[[False, 0, 0]]","[[500, 50, 1000, 50]]",[]
PX303Fg006_5X4_3X0_0_PX303Fg006_5X4_4X1_1,PX303Fg006_5X4_3X0_PX303Fg006_5X4_4X1,0,24,2,0,2,1,"[[False, 4, 0], [False, 4, 3]]","[[0, 1052, 250, 811], [0, 1052, 250, 50]]",[]
PX303Fg006_4X4_1X2_2_PX303Fg006_4X4_3X1_0,PX303Fg006_4X4_1X2_PX303Fg006_4X4_3X1,0,19,1,0,0,0,"[[False, 7, 0]]","[[500, 1860, 0, 50]]",[]
PX303Fg006_5X3_0X1_2_PX303Fg006_5X3_1X2_1,PX303Fg006_5X3_0X1_PX303Fg006_5X3_1X2,0,42,2,1,0,0,"[[False, 0, 0], [False, 3, 0]]","[[500, 50, 250, 50], [500, 864, 250, 50]]",[]
PX303Fg006_5X3_2X0_2_PX303Fg006_5X3_4X0_1,PX303Fg006_5X3_2X0_PX303Fg006_5X3_4X0,0,36,2,0,2,1,"[[False, 4, 0], [False, 4, 3]]","[[500, 1001, 250, 50], [500, 1001, 250, 937]]",[]
PX303Fg006_6X4_4X1_2_PX303Fg006_6X4_5X0_0,PX303Fg006_6X4_4X1_PX303Fg006_6X4_5X0,0,26,1,1,0,0,"[[False, 0, 0]]","[[500, 50, 0, 50]]",[]
PX303Fg006_5X4_1X1_2_PX303Fg006_5X4_4X0_1,PX303Fg006_5X4_1X1_PX303Fg006_5X4_4X0,0,20,2,0,2,1,"[[False, 4, 0], [False, 4, 3]]","[[500, 1118, 250, 859], [500, 1118, 250, 50]]",[]
PX303Fg006_5X4_0X1_2_PX303Fg006_5X4_1X3_2,PX303Fg006_5X4_0X1_PX303Fg006_5X4_1X3,0,24,1,0,0,0,"[[False, 3, 0]]","[[500, 755, 500, 50]]",[]
