fragmanetAndSide,fragment,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates
PX303Fg006_6X3_4X0_4_PX303Fg006_6X3_5X0_1,PX303Fg006_6X3_4X0_PX303Fg006_6X3_5X0,43,2,0,0,0,"[[False, 4, 0], [False, 4, 2]]","[[1000, 1182, 250, 676], [1000, 1182, 250, 50]]",[]
PX303Fg006_5X4_0X3_0_PX303Fg006_5X4_1X0_1,PX303Fg006_5X4_0X3_PX303Fg006_5X4_1X0,35,2,1,0,0,"[[False, 5, 0], [False, 5, 0]]","[[130, 1439, 380, 50], [120, 1439, 370, 50]]",[]
PX303Fg006_5X3_1X1_2_PX303Fg006_5X3_3X2_1,PX303Fg006_5X3_1X1_PX303Fg006_5X3_3X2,10,1,0,0,0,"[[False, 4, 0]]","[[500, 1023, 250, 50]]",[]
PX303Fg006_6X4_3X0_3_PX303Fg006_6X4_5X1_2,PX303Fg006_6X4_3X0_PX303Fg006_6X4_5X1,25,1,0,0,0,"[[False, 2, 2]]","[[750, 749, 500, 601]]",[]
PX303Fg006_4X3_0X0_4_PX303Fg006_4X3_2X2_2,PX303Fg006_4X3_0X0_PX303Fg006_4X3_2X2,14,1,1,0,0,"[[False, 0, 0]]","[[1000, 50, 500, 50]]",[]
PX303Fg006_6X4_0X0_0_PX303Fg006_6X4_4X1_2,PX303Fg006_6X4_0X0_PX303Fg006_6X4_4X1,20,1,0,0,0,"[[False, 2, 0]]","[[0, 655, 500, 50]]",[]
PX303Fg006_6X3_0X0_2_PX303Fg006_6X3_5X2_3,PX303Fg006_6X3_0X0_PX303Fg006_6X3_5X2,21,1,1,0,0,"[[False, 0, 0]]","[[500, 50, 750, 205]]",[]
PX303Fg006_5X3_0X2_4_PX303Fg006_5X3_4X1_2,PX303Fg006_5X3_0X2_PX303Fg006_5X3_4X1,18,2,0,0,0,"[[False, 5, 0], [False, 5, 3]]","[[1000, 1334, 500, 50], [1000, 1334, 500, 957]]",[]
PX303Fg006_4X4_0X3_1_PX303Fg006_4X4_1X1_3,PX303Fg006_4X4_0X3_PX303Fg006_4X4_1X1,14,1,1,0,0,"[[False, 0, 0]]","[[250, 50, 750, 50]]",[]
PX303Fg006_5X4_2X2_0_PX303Fg006_5X4_3X2_3,PX303Fg006_5X4_2X2_PX303Fg006_5X4_3X2,20,1,0,0,0,"[[False, 4, 0]]","[[0, 1169, 750, 50]]",[]
PX303Fg006_4X3_0X0_0_PX303Fg006_4X3_3X1_2,PX303Fg006_4X3_0X0_PX303Fg006_4X3_3X1,46,2,0,0,0,"[[False, 4, 0], [False, 4, 4]]","[[0, 1211, 500, 1146], [0, 1211, 500, 50]]",[]
PX303Fg006_4X3_0X1_2_PX303Fg006_4X3_2X0_3,PX303Fg006_4X3_0X1_PX303Fg006_4X3_2X0,25,2,1,0,0,"[[False, 0, 0], [False, 3, 0]]","[[500, 978, 750, 50], [500, 50, 750, 50]]",[]
PX303Fg006_6X3_0X0_1_PX303Fg006_6X3_4X1_0,PX303Fg006_6X3_0X0_PX303Fg006_6X3_4X1,12,1,0,0,0,"[[False, 2, 0]]","[[250, 737, 0, 50]]",[]
PX303Fg006_5X4_2X2_0_PX303Fg006_5X4_4X1_3,PX303Fg006_5X4_2X2_PX303Fg006_5X4_4X1,26,2,0,0,0,"[[False, 4, 0], [False, 4, 3]]","[[0, 1169, 750, 50], [0, 1169, 750, 925]]",[]
PX303Fg006_5X3_0X0_0_PX303Fg006_5X3_4X0_1,PX303Fg006_5X3_0X0_PX303Fg006_5X3_4X0,40,1,0,0,0,"[[False, 3, 3]]","[[0, 936, 250, 939]]",[]
