fragmanetAndSide,fragment,class,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates
PX303Fg006_4X3_0X0_2_PX303Fg006_4X3_2X2_2,PX303Fg006_4X3_0X0_PX303Fg006_4X3_2X2,0,68,4,2,2,1,"[[False, 0, 0], [False, 0, 0], [False, 4, 0], [False, 4, 4]]","[[500, 50, 500, 50], [500, 50, 500, 50], [500, 1178, 500, 50], [500, 1178, 500, 1101]]",[]
PX303Fg006_6X3_2X2_0_PX303Fg006_6X3_4X1_2,PX303Fg006_6X3_2X2_PX303Fg006_6X3_4X1,0,40,2,2,2,1,"[[False, 0, 0], [False, 0, 0]]","[[0, 50, 500, 50], [0, 50, 500, 50]]",[]
PX303Fg006_4X4_1X1_2_PX303Fg006_4X4_3X0_2,PX303Fg006_4X4_1X1_PX303Fg006_4X4_3X0,0,19,1,0,0,0,"[[False, 5, 4]]","[[500, 1276, 500, 1139]]",[]
PX303Fg006_5X4_0X2_2_PX303Fg006_5X4_4X0_2,PX303Fg006_5X4_0X2_PX303Fg006_5X4_4X0,0,33,4,3,2,1,"[[False, 0, 0], [False, 0, 0], [False, 2, 0], [False, 2, 0]]","[[500, 50, 500, 50], [500, 50, 500, 50], [500, 583, 500, 50], [500, 583, 500, 50]]",[]
PX303Fg006_5X4_0X3_3_PX303Fg006_5X4_2X2_2,PX303Fg006_5X4_0X3_PX303Fg006_5X4_2X2,0,14,1,1,0,0,"[[False, 0, 0]]","[[750, 50, 500, 50]]",[]
PX303Fg006_6X4_2X3_3_PX303Fg006_6X4_5X2_0,PX303Fg006_6X4_2X3_PX303Fg006_6X4_5X2,0,27,3,2,2,1,"[[False, 0, 0], [False, 5, 0], [False, 5, 0]]","[[750, 50, 0, 50], [750, 1499, 0, 50], [750, 1499, 0, 50]]",[]
PX303Fg006_6X4_1X0_1_PX303Fg006_6X4_5X0_2,PX303Fg006_6X4_1X0_PX303Fg006_6X4_5X0,0,60,3,1,4,2,"[[False, 4, 0], [False, 4, 0], [False, 4, 2]]","[[250, 1026, 500, 50], [250, 1026, 500, 50], [250, 1026, 500, 709]]",[]
PX303Fg006_5X4_1X3_2_PX303Fg006_5X4_3X3_0,PX303Fg006_5X4_1X3_PX303Fg006_5X4_3X3,0,20,1,0,0,0,"[[False, 6, 0]]","[[500, 1681, 0, 50]]",[]
PX303Fg006_6X3_1X1_2_PX303Fg006_6X3_2X0_2,PX303Fg006_6X3_1X1_PX303Fg006_6X3_2X0,0,9,1,0,0,0,"[[False, 2, 0]]","[[500, 617, 500, 50]]",[]
PX303Fg006_6X3_2X1_3_PX303Fg006_6X3_5X0_2,PX303Fg006_6X3_2X1_PX303Fg006_6X3_5X0,0,57,2,1,2,1,"[[False, 5, 0], [False, 5, 0]]","[[750, 1432, 500, 50], [750, 1432, 500, 50]]",[]
PX303Fg006_4X3_1X1_5_PX303Fg006_4X3_3X0_1,PX303Fg006_4X3_1X1_PX303Fg006_4X3_3X0,0,34,4,2,4,2,"[[False, 0, 0], [False, 4, 0], [False, 4, 0], [False, 4, 5]]","[[1250, 50, 250, 50], [1250, 1143, 250, 50], [1250, 1143, 250, 50], [1250, 1143, 250, 1419]]",[]
PX303Fg006_6X4_2X1_3_PX303Fg006_6X4_5X1_3,PX303Fg006_6X4_2X1_PX303Fg006_6X4_5X1,0,21,1,0,0,0,"[[False, 4, 2]]","[[750, 1099, 750, 695]]",[]
PX303Fg006_5X3_2X1_0_PX303Fg006_5X3_4X0_4,PX303Fg006_5X3_2X1_PX303Fg006_5X3_4X0,0,37,3,1,4,2,"[[False, 3, 0], [False, 3, 0], [False, 3, 3]]","[[0, 876, 1000, 50], [0, 876, 1000, 50], [0, 876, 1000, 873]]",[]
PX303Fg006_4X4_1X0_0_PX303Fg006_4X4_3X2_0,PX303Fg006_4X4_1X0_PX303Fg006_4X4_3X2,0,7,3,1,4,2,"[[False, 4, 0], [False, 4, 5], [False, 4, 5]]","[[0, 1230, 0, 50], [0, 1230, 0, 1263], [0, 1230, 0, 1263]]",[]
PX303Fg006_4X3_0X2_4_PX303Fg006_4X3_3X0_4,PX303Fg006_4X3_0X2_PX303Fg006_4X3_3X0,0,75,7,4,6,3,"[[False, 0, 0], [False, 0, 5], [False, 0, 5], [False, 3, 0], [False, 3, 0], [False, 3, 5], [False, 3, 5]]","[[1000, 50, 1000, 50], [1000, 50, 1000, 1419], [1000, 50, 1000, 1419], [1000, 968, 1000, 50], [1000, 968, 1000, 50], [1000, 968, 1000, 1419], [1000, 968, 1000, 1419]]",[]
PX303Fg006_5X4_2X1_1_PX303Fg006_5X4_3X0_0,PX303Fg006_5X4_2X1_PX303Fg006_5X4_3X0,0,43,4,2,6,3,"[[False, 0, 0], [False, 4, 0], [False, 4, 0], [False, 4, 3]]","[[250, 50, 0, 50], [250, 1106, 0, 50], [250, 1106, 0, 50], [250, 1106, 0, 903]]",[]
PX303Fg006_5X4_0X1_3_PX303Fg006_5X4_1X2_2,PX303Fg006_5X4_0X1_PX303Fg006_5X4_1X2,0,4,1,0,0,0,"[[False, 3, 5]]","[[750, 790, 500, 1352]]",[]
PX303Fg006_4X4_0X0_2_PX303Fg006_4X4_3X2_1,PX303Fg006_4X4_0X0_PX303Fg006_4X4_3X2,0,11,1,0,0,0,"[[False, 4, 5]]","[[500, 1210, 250, 1263]]",[]
