fragmanetAndSide,fragment,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates
P596Fg067_1_P597Fg061_0,P596Fg067_P597Fg061,2,2,2,1,0,"[[False, 0, 0], [False, 1, 0]]","[[500, 0, 0, 0], [500, 250, 0, 0]]","[[3981, 2332, 3963, 2070], [3731, 2332, 3963, 2070]]"
P589Fg008_1_P597Fg040_0,P589Fg008_P597Fg040,1,1,1,0,0,"[[False, 1, 1]]","[[1000, 250, 0, 250]]","[[3638, 2966, 3474, 2260]]"
P596Fg020_1_P597Fg060_1,P596Fg020_P597Fg060,6,2,2,1,0,"[[True, 0, 0], [True, 1, 0]]","[[750, 0, 250, 0], [750, 250, 250, 0]]","[[3995, 2689, 3770, 2623], [3745, 2689, 3770, 2623]]"
P589Fg011_1_P598Fg030_0,P589Fg011_P598Fg030,3,3,3,2,0,"[[False, 0, 0], [False, 1, 0], [False, 2, 0]]","[[750, 0, 0, 0], [750, 250, 0, 0], [750, 500, 0, 0]]","[[4250, 2932, 3720, 1765], [4000, 2932, 3720, 1765], [3750, 2932, 3720, 1765]]"
P596Fg010_1_P598Fg035_1,P596Fg010_P598Fg035,2,2,2,1,0,"[[True, 0, 2], [True, 0, 1]]","[[500, 0, 1250, 250], [500, 0, 1250, 500]]","[[3799, 2725, 3752, 2917], [3799, 2725, 3502, 2917]]"
P589Fg010_1_P596Fg016_0,P589Fg010_P596Fg016,3,3,3,2,0,"[[False, 1, 0], [False, 2, 0], [False, 3, 0]]","[[750, 250, 0, 0], [750, 500, 0, 0], [750, 750, 0, 0]]","[[3974, 2859, 3507, 2166], [3724, 2859, 3507, 2166], [3474, 2859, 3507, 2166]]"
P596Fg051_1_P597Fg012_0,P596Fg051_P597Fg012,1,1,1,0,0,"[[False, 0, 1]]","[[1000, 0, 0, 250]]","[[3794, 2742, 3562, 2092]]"
P596Fg067_1_P598Fg001_1,P596Fg067_P598Fg001,5,1,1,0,0,"[[True, 1, 5]]","[[500, 250, 1250, 1250]]","[[3731, 2332, 2501, 2617]]"
P589Fg009_1_P598Fg020_0,P589Fg009_P598Fg020,2,2,1,1,0,"[[False, 1, 2], [False, 1, 3]]","[[750, 250, 0, 500], [750, 250, 0, 750]]","[[3583, 2999, 3394, 1606], [3583, 2999, 3144, 1606]]"
P589Fg005_1_P596Fg073_1,P589Fg005_P596Fg073,1,1,1,0,0,"[[True, 0, 0]]","[[750, 0, 500, 0]]","[[3934, 2857, 4076, 2645]]"
P596Fg055_1_P597Fg023_1,P596Fg055_P597Fg023,4,2,2,1,0,"[[True, 1, 0], [True, 2, 0]]","[[250, 250, 500, 0], [250, 500, 500, 0]]","[[3901, 2667, 3610, 2769], [3651, 2667, 3610, 2769]]"
P589Fg006_1_P597Fg003_0,P589Fg006_P597Fg003,22,14,9,2,0,"[[False, 0, 2], [False, 1, 0], [False, 1, 2], [False, 2, 0], [False, 2, 2], [False, 3, 2], [False, 4, 0], [False, 4, 1], [False, 4, 2], [False, 5, 0], [False, 5, 2], [False, 6, 2], [False, 7, 0], [False, 7, 2]]","[[3750, 0, 0, 500], [3750, 250, 0, 0], [3750, 250, 0, 500], [3750, 500, 0, 0], [3750, 500, 0, 500], [3750, 750, 0, 500], [3750, 1000, 0, 0], [3750, 1000, 0, 250], [3750, 1000, 0, 500], [3750, 1250, 0, 0], [3750, 1250, 0, 500], [3750, 1500, 0, 500], [3750, 1750, 0, 0], [3750, 1750, 0, 500]]","[[5057, 1763, 3498, 2204], [5057, 2013, 3998, 2204], [5057, 2013, 3498, 2204], [5057, 2263, 3998, 2204], [5057, 2263, 3498, 2204], [5057, 2513, 3498, 2204], [5057, 2763, 3998, 2204], [5057, 2763, 3748, 2204], [5057, 2763, 3498, 2204], [5057, 3013, 3998, 2204], [5057, 3013, 3498, 2204], [5057, 3263, 3498, 2204], [5057, 3513, 3998, 2204], [5057, 3513, 3498, 2204]]"
P589Fg004_1_P590Fg030_1,P589Fg004_P590Fg030,3,1,0,0,0,"[[True, 3, 5]]","[[2750, 750, 1250, 1250]]","[[3429, 3968, 2920, 2905]]"
P596Fg047_1_P597Fg003_0,P596Fg047_P597Fg003,4,3,3,2,0,"[[False, 0, 0], [False, 0, 1], [False, 0, 2]]","[[500, 0, 0, 0], [500, 0, 0, 250], [500, 0, 0, 500]]","[[3871, 2473, 3998, 2204], [3871, 2473, 3748, 2204], [3871, 2473, 3498, 2204]]"
P589Fg001_1_P596Fg067_1,P589Fg001_P596Fg067,2,2,2,1,0,"[[True, 1, 0], [True, 2, 0]]","[[1000, 500, 500, 0], [1000, 250, 500, 0]]","[[3565, 2952, 3981, 2332], [3815, 2952, 3981, 2332]]"
P596Fg056_1_P597Fg053_1,P596Fg056_P597Fg053,3,3,3,3,1,"[[True, 0, 1], [True, 0, 0], [True, 1, 1]]","[[500, 0, 750, 0], [500, 0, 750, 250], [500, 250, 750, 250]]","[[4183, 2901, 3469, 3001], [4183, 2901, 3219, 3001], [3933, 2901, 3219, 3001]]"
P596Fg018_1_P598Fg021_0,P596Fg018_P598Fg021,1,1,1,0,0,"[[False, 0, 1]]","[[500, 0, 0, 250]]","[[3797, 2522, 3306, 1787]]"
P596Fg055_1_P598Fg016_0,P596Fg055_P598Fg016,1,1,1,0,0,"[[False, 1, 0]]","[[250, 250, 0, 0]]","[[3901, 2667, 3644, 1758]]"
