fragmanetAndSide,fragment,class,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates
PX303Fg006_5X4_2X3_1_PX303Fg006_5X4_3X3_1,PX303Fg006_5X4_2X3_PX303Fg006_5X4_3X3,0,35,2,2,0,0,"[[False, 0, 0], [False, 1, 0]]","[[1584, 250, 782, 0], [1584, 0, 782, 0]]",[]
PX303Fg006_5X4_0X1_0_PX303Fg006_5X4_1X1_0,PX303Fg006_5X4_0X1_PX303Fg006_5X4_1X1,0,34,2,2,2,1,"[[False, 0, 1], [False, 1, 1]]","[[50, 250, 50, 250], [50, 0, 50, 250]]",[]
PX303Fg006_5X3_1X1_1_PX303Fg006_5X3_2X1_0,PX303Fg006_5X3_1X1_PX303Fg006_5X3_2X1,1,48,40,39,12,6,"[[False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 1], [False, 0, 1], [False, 0, 1], [False, 1, 0], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 2], [False, 2, 2], [False, 2, 2], [False, 4, 4], [False, 4, 4], [False, 4, 4], [False, 4, 4], [False, 4, 4], [False, 4, 5]]","[[1002, 0, 50, 0], [1002, 0, 50, 50], [1002, 100, 50, 100], [1002, 100, 50, 150], [1002, 1100, 50, 1100], [1002, 1100, 50, 1150], [1002, 250, 50, 0], [1002, 1150, 50, 1150], [1002, 1150, 50, 1200], [1002, 1200, 50, 1200], [1002, 1200, 50, 1250], [1002, 130, 50, 130], [1002, 0, 50, 250], [1002, 130, 50, 180], [1002, 150, 50, 150], [1002, 150, 50, 200], [1002, 170, 50, 170], [1002, 170, 50, 220], [1002, 180, 50, 180], [1002, 200, 50, 200], [1002, 200, 50, 250], [1002, 220, 50, 220], [1002, 220, 50, 270], [1002, 250, 50, 250], [1002, 250, 50, 300], [1002, 270, 50, 270], [1002, 300, 50, 300], [1002, 300, 50, 350], [1002, 350, 50, 350], [1002, 350, 50, 400], [1002, 400, 50, 400], [1002, 400, 50, 450], [1002, 450, 50, 450], [1002, 450, 50, 500], [1002, 50, 50, 100], [1002, 50, 50, 50], [1002, 500, 50, 500], [1002, 500, 50, 550], [1002, 80, 50, 130], [1002, 80, 50, 80]]",[]
PX303Fg006_5X3_3X1_1_PX303Fg006_5X3_4X1_0,PX303Fg006_5X3_3X1_PX303Fg006_5X3_4X1,1,71,59,59,56,28,"[[False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 1], [False, 0, 1], [False, 0, 1], [False, 1, 0], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 3], [False, 3, 3], [False, 3, 3], [False, 3, 3], [False, 3, 3], [False, 3, 3], [False, 3, 3], [False, 3, 3], [False, 3, 3], [False, 3, 3], [False, 3, 3], [False, 3, 3], [False, 3, 4], [False, 4, 4], [False, 4, 4], [False, 4, 4]]","[[653, 0, 50, 0], [653, 0, 50, 50], [653, 100, 50, 100], [653, 100, 50, 150], [653, 1000, 50, 1000], [653, 1000, 50, 1050], [653, 1050, 50, 1050], [653, 130, 50, 130], [653, 0, 50, 250], [653, 130, 50, 180], [653, 150, 50, 150], [653, 150, 50, 200], [653, 170, 50, 170], [653, 170, 50, 220], [653, 180, 50, 180], [653, 200, 50, 200], [653, 200, 50, 250], [653, 220, 50, 220], [653, 220, 50, 270], [653, 250, 50, 250], [653, 250, 50, 300], [653, 270, 50, 270], [653, 300, 50, 300], [653, 300, 50, 350], [653, 350, 50, 350], [653, 350, 50, 400], [653, 400, 50, 400], [653, 400, 50, 450], [653, 430, 50, 430], [653, 450, 50, 450], [653, 450, 50, 500], [653, 50, 50, 100], [653, 50, 50, 50], [653, 500, 50, 500], [653, 500, 50, 550], [653, 520, 50, 520], [653, 250, 50, 0], [653, 550, 50, 550], [653, 550, 50, 600], [653, 600, 50, 600], [653, 600, 50, 650], [653, 650, 50, 650], [653, 650, 50, 700], [653, 700, 50, 700], [653, 700, 50, 750], [653, 750, 50, 750], [653, 750, 50, 800], [653, 80, 50, 130], [653, 80, 50, 80], [653, 800, 50, 800], [653, 800, 50, 850], [653, 850, 50, 850], [653, 850, 50, 900], [653, 880, 50, 880], [653, 900, 50, 900], [653, 900, 50, 950], [653, 950, 50, 1000], [653, 950, 50, 950], [653, 970, 50, 970]]",[]
PX303Fg006_6X4_0X3_1_PX303Fg006_6X4_3X3_1,PX303Fg006_6X4_0X3_PX303Fg006_6X4_3X3,0,16,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[573, 250, 726, 250], [573, 250, 726, 0], [573, 0, 726, 250], [573, 0, 726, 0]]",[]
PX303Fg006_5X3_2X2_0_PX303Fg006_5X3_3X2_1,PX303Fg006_5X3_2X2_PX303Fg006_5X3_3X2,0,66,4,4,6,3,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[50, 250, 646, 0], [50, 250, 646, 250], [50, 0, 646, 0], [50, 0, 646, 250]]",[]
PX303Fg006_4X4_0X1_0_PX303Fg006_4X4_2X3_0,PX303Fg006_4X4_0X1_PX303Fg006_4X4_2X3,0,6,4,4,6,3,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 250], [50, 250, 50, 0], [50, 0, 50, 250], [50, 0, 50, 0]]",[]
PX303Fg006_6X3_3X1_0_PX303Fg006_6X3_5X2_1,PX303Fg006_6X3_3X1_PX303Fg006_6X3_5X2,0,12,2,2,2,1,"[[False, 0, 0], [False, 0, 1]]","[[50, 0, 407, 0], [50, 0, 407, 250]]",[]
PX303Fg006_5X4_1X0_0_PX303Fg006_5X4_3X2_1,PX303Fg006_5X4_1X0_PX303Fg006_5X4_3X2,0,6,1,1,0,0,"[[False, 1, 0]]","[[50, 250, 731, 0]]",[]
PX303Fg006_5X3_1X0_0_PX303Fg006_5X3_3X2_0,PX303Fg006_5X3_1X0_PX303Fg006_5X3_3X2,0,12,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 250], [50, 250, 50, 0]]",[]
